#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
69;Siemens;SIE.DE;DAX 40;Industrial;7,61;2,46;6463000000,0;8157000000,0;-3867265043,0;15,84;10,9;16,64;5,48;7317000000,0;10093000000,0;1562442689,0;21,42;16,69;16,19;5,62;10220000000,0;9577000000,0;2011219218,0;21,3;17,14;15,46;5,79;16301000000,0;10812000000,0;74990545,0;20,1;15,8;15,46;5,79;16301000000,0;10812000000,0;74990545,0;20,1;15,8
70;Siemens Energy;ENR.DE;DAX 40;Energía;-2,73;-0,91;1932000000,0;1061000000,0;-2226488358,0;4,06;-1,57;-53,3;-9,46;1357000000,0;394000000,0;-3303202149,0;-5,09;-9,96;13,05;2,33;1375000000,0;1375000000,0;186020154,0;10,63;6,25;13,73;2,5;3889000000,0;4097000000,0;457545486,0;10,75;6,41;13,73;2,5;3889000000,0;4097000000,0;457545486,0;10,75;6,41
71;Siemens Healthineers;SHL.DE;DAX 40;Salud;10,27;4,15;1652000000,0;1652000000,0;-821998571,0;19,62;13,44;8,35;3,23;2385000000,0;1281000000,0;-900391369,0;17,44;10,26;10,67;4,22;1914000000,0;2130000000,0;-429966659,0;18,88;13,41;;;;;;;;;;;;;;
72;Symrise;SY1.DE;DAX 40;Química;7,88;3,6;823204000,0;109940000,0;-214509853,0;16,9;10,61;9,38;4,34;428198000,0;449305000,0;-137506873,0;18,01;11,83;12,01;5,74;634939000,0;652067000,0;28497389,0;20,81;14,49;6,7;3,15;689480000,0;560928000,0;-223615283,0;15,79;9,68;6,7;3,15;689480000,0;560928000,0;-223615283,0;15,79;9,68
73;Volkswagen;VOW3.DE;DAX 40;Automoción;9,35;2,74;4063000000,0;5825000000,0;-13469305936,0;18,71;8,5;9,45;2,75;5528000000,0;-6439000000,0;-10892299968,0;16,85;8,3;6,23;1,79;-3078000000,0;-10295000000,0;-18331999564,0;15,89;6,24;3,89;1,14;-8881000000,0;-9337000000,0;-24124937307,0;15,53;3,9;3,89;1,14;-8881000000,0;-9337000000,0;-24124937307,0;15,53;3,9
74;Vonovia;VNA.DE;DAX 40;Inmobiliario;-2,05;-0,63;8887000000,0;2084300000,0;-7695722927,0;22,89;-0,43;-24,47;-6,83;1901200000,0;1901200000,0;-12969893641,0;-151,19;-160,08;-3,73;-0,99;2401600000,0;2401600000,0;-6416445000,0;6,87;4,61;13,55;3,99;2448300000,0;2448300000,0;-4362593000,0;74,25;64,61;13,55;3,99;2448300000,0;2448300000,0;-4362593000,0;74,25;64,61
75;Zalando;ZAL.DE;DAX 40;Consumo;0,76;0,22;108300000,0;108300000,0;-240611000,0;4,0;0,98;3,5;1,07;686300000,0;686300000,0;-162213000,0;5,64;2,35;9,42;3,15;447300000,0;447300000,0;-4673728,0;7,67;4,36;7,61;2,32;903800000,0;903800000,0;-20397000,0;6,77;3,49;7,61;2,32;903800000,0;903800000,0;-20397000,0;6,77;3,49
76;Air Liquide;AI.PA;CAC 40;Química;11,62;5,57;2537100000,0;2537100000,0;-313642563,0;21,43;13,2;12,66;6,37;2869600000,0;2869600000,0;80592103,0;24,31;15,32;12,31;6,37;2797100000,0;2797100000,0;109992488,0;26,28;17,02;13,42;6,78;2675000000,0;2675000000,0;267729737,0;27,95;18,43;13,42;6,78;2675000000,0;2675000000,0;267729737,0;27,95;18,43
77;ArcelorMittal;MT.PA;CAC 40;Acero;17,5;9,84;9858000000,0;6735000000,0;4105905677,0;17,83;14,6;1,7;0,98;1105000000,0;3032000000,0;-4169895556,0;6,81;2,89;2,72;1,5;1475000000,0;447000000,0;-2836050000,0;9,7;5,49;5,79;3,23;-403000000,0;471000000,0;-2252147773,0;11,61;6,81;5,79;3,23;-403000000,0;471000000,0;-2252147773,0;11,61;6,81
78;AXA;CS.PA;CAC 40;Seguros;10,98;0,79;10130000000,0;8307000000,0;;8,88;8,88;14,5;1,12;3323000000,0;3517000000,0;;9,26;9,26;15,79;1,21;12767000000,0;11991000000,0;;;;20,77;1,54;23674000000,0;21924000000,0;;;;20,77;1,54;23674000000,0;21924000000,0;;;
79;BNP Paribas;BNP.PA;CAC 40;Banca;8,12;0,37;-55366000000,0;-55366000000,0;;;;8,87;0,42;-36457000000,0;-36457000000,0;;;;9,12;0,43;-99512000000,0;-99512000000,0;;;;9,74;0,44;43696000000,0;43696000000,0;;;;9,74;0,44;43696000000,0;43696000000,0;;;
80;Bouygues;EN.PA;CAC 40;Construcción;7,97;1,61;248000000,0;248000000,0;-1108066624,0;10,21;4,16;8,38;1,71;2680000000,0;2680000000,0;-904448375,0;9,17;3,97;8,33;1,68;2421000000,0;2664000000,0;-934188537,0;9,5;4,08;8,73;1,77;2756000000,0;2971000000,0;-892695257,0;10,12;4,23;8,73;1,77;2756000000,0;2971000000,0;-892695257,0;10,12;4,23
81;Capgemini;CAP.PA;CAC 40;Tecnología;15,9;6,07;2213000000,0;2227000000,0;268644134,0;14,28;11,01;15,91;6,73;1239000000,0;2266000000,0;417383542,0;14,16;11,06;14,19;6,51;1610000000,0;2211000000,0;382314259,0;14,64;11,55;13,74;5,51;5142000000,0;2195000000,0;87853112,0;13,64;10,54;13,74;5,51;5142000000,0;2195000000,0;87853112,0;13,64;10,54
82;Carrefour;CA.PA;CAC 40;Distribución;12,1;2,38;4663000000,0;2337000000,0;-344639554,0;5,77;3,08;14,38;2,95;2485000000,0;2676000000,0;-1095083196,0;5,11;2,4;6,68;1,26;3924000000,0;2462000000,0;-764395903,0;5,23;2,54;2,91;0,58;2015000000,0;2425000000,0;-775389788,0;5,56;2,76;2,91;0,58;2015000000,0;2425000000,0;-775389788,0;5,56;2,76
83;Saint-Gobain;SGO.PA;CAC 40;Materiales;13,22;5,42;4128000000,0;3790000000,0;477251026,0;14,04;9,27;11,47;4,66;5750000000,0;4064000000,0;107553333,0;14,71;9,72;11,31;4,61;5536000000,0;3486000000,0;21966640,0;16,09;10,44;11,75;4,74;3378000000,0;3448000000,0;171146329,0;16,19;10,54;11,75;4,74;3378000000,0;3448000000,0;171146329,0;16,19;10,54
84;Crédit Agricole;ACA.PA;CAC 40;Banca;7,98;0,25;421000000,0;421000000,0;;;;8,93;0,29;-37397000000,0;-37397000000,0;;;;9,49;0,31;-16979000000,0;-16979000000,0;;;;9,11;0,3;17895000000,0;17895000000,0;;;;9,11;0,3;17895000000,0;17895000000,0;;;
85;Danone;BN.PA;CAC 40;Alimentación;5,35;2,12;1009000000,0;2091000000,0;-1047080000,0;14,47;7,74;5,45;1,98;1590000000,0;2595000000,0;-791070000,0;13,79;7,96;11,36;4,46;2299000000,0;2908000000,0;-40661954,0;17,41;13,15;10,79;4,05;2838000000,0;2724000000,0;-288191830,0;16,09;11,12;10,79;4,05;2838000000,0;2724000000,0;-288191830,0;16,09;11,12
86;Dassault Systèmes;DSY.PA;CAC 40;Tecnología;12,74;6,53;506800000,0;1392900000,0;38316203,0;34,29;23,5;13,41;7,19;1412100000,0;1419900000,0;197652219,0;32,19;22,53;13,24;7,72;965700000,0;1466400000,0;275787438,0;33,83;24,57;13,6;7,94;1550600000,0;1469300000,0;355474748,0;32,93;24,06;13,6;7,94;1550600000,0;1469300000,0;355474748,0;32,93;24,06
87;Engie;ENGI.PA;CAC 40;Utilities;0,63;0,09;-96000000,0;2207000000,0;-11433496209,0;8,48;-0,11;7,35;1,13;9834000000,0;5789000000,0;-4752800284,0;21,12;7,77;11,88;2,17;6139000000,0;3759000000,0;-2309342861,0;21,87;13,76;11,61;2,26;-5830000000,0;-8743000000,0;-2550398126,0;20,03;12,36;11,61;2,26;-5830000000,0;-8743000000,0;-2550398126,0;20,03;12,36
88;EssilorLuxottica;EL.PA;CAC 40;Salud;5,75;3,55;1801000000,0;3211000000,0;-1815479842,0;24,94;13,02;5,99;3,78;1804000000,0;3330000000,0;-1582290478,0;24,43;12,73;5,84;3,67;3099000000,0;3352000000,0;-1733341064,0;24,87;13,37;5,95;3,62;2288000000,0;3766000000,0;-1556345477,0;23,16;12,32;5,95;3,62;2288000000,0;3766000000,0;-1556345477,0;23,16;12,32
89;Eurofins Scientific;ERF.PA;CAC 40;Salud;12,76;6,05;1027100000,0;476100000,0;22912000,0;20,71;13,19;6,11;2,85;1016300000,0;467800000,0;-299459583,0;17,16;8,48;7,61;3,73;430800000,0;790500000,0;-186497435,0;18,74;10,15;10,45;4,32;1475000000,0;564100000,0;-97860117,0;19,75;11,12;10,45;4,32;1475000000,0;564100000,0;-97860117,0;19,75;11,12
90;Hermès;RMS.PA;CAC 40;Lujo;27,06;19,29;3666000000,0;3666000000,0;2205930097,0;46,63;40,34;28,36;21,08;3468000000,0;3469000000,0;2876316986,0;49,66;43,91;26,57;19,94;4071000000,0;4072000000,0;3072676026,0;48,35;42,79;24,01;18,6;4212000000,0;4213000000,0;2857748782,0;48,47;42,68;24,01;18,6;4212000000,0;4213000000,0;2857748782,0;48,47;42,68
91;Kering;KER.PA;CAC 40;Lujo;25,82;10,65;4388000000,0;3207000000,0;1811147420,0;34,31;26,12;19,61;7,21;7270000000,0;1848000000,0;712936678,0;32,8;23,48;7,6;2,61;2974000000,0;1400000000,0;-1141610227,0;25,48;12,96;0,49;0,17;1357000000,0;2270000000,0;-1843400000,0;21,26;7,33;0,49;0,17;1357000000,0;2270000000,0;-1843400000,0;21,26;7,33
92;Legrand;LR.PA;CAC 40;Industrial;15,06;6,93;1023600000,0;1030500000,0;124424662,0;22,5;17,89;17,08;7,74;2203500000,0;1583100000,0;272820240,0;24,25;19,85;15,49;7,26;1990800000,0;1283700000,0;202948309,0;24,41;20,02;17,06;7,07;2781400000,0;1328100000,0;199953966,0;23,92;19,61;17,06;7,07;2781400000,0;1328100000,0;199953966,0;23,92;19,61
93;L'Oréal;OR.PA;CAC 40;Consumo;21,0;12,18;7955000000,0;4935100000,0;3118939839,0;24,11;20,09;21,27;11,93;9683000000,0;6115900000,0;3411068682,0;24,15;19,98;19,34;11,37;8165800000,0;6644300000,0;3372876847,0;24,54;20,28;17,53;9,91;11196300000,0;7161600000,0;2693352153,0;24,28;20,15;17,53;9,91;11196300000,0;7161600000,0;2693352153,0;24,28;20,15
94;LVMH;MC.PA;CAC 40;Lujo;25,56;10,46;12636000000,0;12753000000,0;6782921189,0;33,75;25,88;24,87;10,56;12618000000,0;10596000000,0;7826839595,0;34,56;26,23;18,59;8,41;13292000000,0;13373000000,0;4563792169,0;31,99;22,79;16,12;7,66;12072000000,0;14205000000,0;3065857070,0;31,99;22,09;16,12;7,66;12072000000,0;14205000000,0;3065857070,0;31,99;22,09
95;Michelin;ML.PA;CAC 40;Automoción;11,69;5,66;-311000000,0;-210000000,0;167587410,0;17,31;10,51;11,04;5,63;3003000000,0;3013000000,0;95121205,0;17,24;10,15;10,12;5,04;3049000000,0;2071000000,0;-173323190,0;17,74;10,08;9,21;4,75;1945000000,0;1790000000,0;-276324889,0;17,88;10,05;9,21;4,75;1945000000,0;1790000000,0;-276324889,0;17,88;10,05
96;Orange;ORA.PA;CAC 40;Telecomunicaciones;6,75;1,96;4267000000,0;2458000000,0;-3265587851,0;34,06;12,23;7,67;2,22;5711000000,0;4092000000,0;-2689820393,0;34,53;12,27;7,4;2,26;4410000000,0;3167000000,0;-2510421497,0;33,02;13,32;1,81;0,5;11096000000,0;3313000000,0;-3887240000,0;29,56;8,68;1,81;0,5;11096000000,0;3313000000,0;-3887240000,0;29,56;8,68
97;Pernod Ricard;RI.PA;CAC 40;Consumo;12,52;5,54;2859000000,0;1788000000,0;-179342937,0;31,14;27,58;14,39;6,0;2188000000,0;1331000000,0;44899374,0;29,94;26,51;9,37;3,77;2412000000,0;954000000,0;-727786929,0;27,49;23,69;10,69;4,39;47000000,0;1121000000,0;-389723856,0;29,09;25,24;10,69;4,39;47000000,0;1121000000,0;-389723856,0;29,09;25,24
98;Publicis Groupe;PUB.PA;CAC 40;Medios;12,68;3,4;2209000000,0;2219000000,0;127666529,0;18,84;13,05;13,4;3,57;1371000000,0;1868000000,0;282735383,0;19,18;13,08;15,01;4,17;1461000000,0;2063000000,0;564970821,0;19,67;15,12;15,82;4,13;3185000000,0;2693000000,0;520818284,0;18,23;14,02;15,82;4,13;3185000000,0;2693000000,0;520818284,0;18,23;14,02
99;Renault;RNO.PA;CAC 40;Automoción;-1,22;-0,3;2751000000,0;929000000,0;-1736869023,0;13,02;5,39;7,39;1,8;228000000,0;1398000000,0;-903216772,0;12,21;6,12;2,48;0,58;2533000000,0;4111000000,0;-1987610000,0;9,07;3,41;-52,58;-9,03;-1612000000,0;-705000000,0;-11979031060,0;-9,74;-17,05;-52,58;-9,03;-1612000000,0;-705000000,0;-11979031060,0;-9,74;-17,05
100;Safran;SAF.PA;CAC 40;Aeroespacial;-23,62;-5,25;2522000000,0;2666000000,0;-3896403590,0;-7,2;-15,47;29,75;6,82;2651000000,0;2945000000,0;2057217897,0;27,03;20,75;-6,55;-1,21;2382000000,0;3189000000,0;-1894409593,0;2,44;-2,63;48,37;11,61;3727000000,0;3921000000,0;5739144400,0;38,1;33,36;48,37;11,61;3727000000,0;3921000000,0;5739144400,0;38,1;33,36
101;Sanofi;SAN.PA;CAC 40;Salud;11,19;6,61;6974000000,0;8423000000,0;183828713,0;33,31;25,65;7,29;4,27;3464000000,0;7352000000,0;-2408172222,0;27,21;16,56;7,17;4,19;4933000000,0;5886000000,0;-2219427626,0;24,81;16,71;10,95;6,16;9816000000,0;7212000000,0;-2224535709,0;26,71;14,56;10,95;6,16;9816000000,0;7212000000,0;-2224535709,0;26,71;14,56
102;Schneider Electric;SU.PA;CAC 40;Industrial;13,67;5,96;3667000000,0;3261000000,0;625065045,0;18,62;14,28;15,13;6,8;7691000000,0;4542000000,0;1049277557,0;20,29;16,23;14,0;6,47;4905000000,0;4161000000,0;1303286291,0;21,13;17,1;17,2;6,66;7142000000,0;4588000000,0;1618024078,0;20,85;16,74;17,2;6,66;7142000000,0;4588000000,0;1618024078,0;20,85;16,74
103;Société Générale;GLE.PA;CAC 40;Banca;2,73;0,12;29502000000,0;29502000000,0;;;;3,78;0,16;25556000000,0;25556000000,0;;;;5,98;0,27;-21531000000,0;-21531000000,0;;;;8,56;0,39;-29009000000,0;-29009000000,0;;;;8,56;0,39;-29009000000,0;-29009000000,0;;;
104;Stellantis;STLAM.MI;CAC 40;Automoción;23,33;9,02;10945000000,0;10945000000,0;8251748778,0;15,31;11,52;22,76;9,2;7547000000,0;7761000000,0;9474931452,0;16,51;12,53;6,7;2,64;-4881000000,0;-9525000000,0;-7088739524,0;8,15;3,54;-41,77;-11,46;-4754000000,0;-13792000000,0;-30406178748,0;-11,82;-16,37;-41,77;-11,46;-4754000000,0;-13792000000,0;-30406178748,0;-11,82;-16,37
105;STMicroelectronics;STMPA.PA;CAC 40;Semiconductores;31,2;19,82;1632000000,0;1566000000,0;2685893090,0;35,44;27,9;25,17;17,22;1616000000,0;1456000000,0;2612912887,0;36,9;27,87;8,92;6,29;-119000000,0;-216000000,0;-41766667,0;28,06;14,79;0,93;0,67;-1041000000,0;-52000000,0;-1374670000,0;19,57;3,86;0,93;0,67;-1041000000,0;-52000000,0;-1374670000,0;19,57;3,86
106;Teleperformance;TEP.PA;CAC 40;Tecnología;17,52;7,23;914000000,0;996000000,0;183818198,0;19,95;12,21;14,04;4,91;1142000000,0;1142000000,0;-43145366,0;19,29;11,64;11,48;4,33;1594000000,0;1594000000,0;-17481289,0;18,56;10,98;12,13;4,33;1361000000,0;1361000000,0;-6811756,0;17,55;10,31;12,13;4,33;1361000000,0;1361000000,0;-6811756,0;17,55;10,31
107;Thales;HO.PA;CAC 40;Defensa;15,62;3,26;1794600000,0;2490800000,0;114621497,0;14,29;8,26;14,98;2,64;3631800000,0;885800000,0;-55105756,0;13,33;7,66;18,89;3,55;1017800000,0;2014700000,0;52316988,0;12,99;7,37;21,01;4,28;737100000,0;2565100000,0;758305291,0;15,41;10,5;21,01;4,28;737100000,0;2565100000,0;758305291,0;15,41;10,5
108;TotalEnergies;TTE.PA;CAC 40;Energía;18,37;6,75;32446000000,0;31677000000,0;18494620000,0;22,42;17,23;18,32;7,54;21692000000,0;22957000000,0;7250836209,0;23,19;16,88;13,37;5,52;22706000000,0;15945000000,0;6075340000,0;21,61;14,91;11,43;4,51;16929000000,0;10390000000,0;2875890000,0;21,31;13,71;11,43;4,51;16929000000,0;10390000000,0;2875890000,0;21,31;13,71
109;Unibail-Rodamco;URW.PA;CAC 40;Inmobiliario;0,93;0,33;561200000,0;1531400000,0;-3276607023,0;36,14;35,64;-9,47;-3,04;2515600000,0;875500000,0;-4752635397,0;-23,76;-25,37;0,83;0,27;-80800000,0;881900000,0;-2802977780,0;49,96;46,04;7,16;2,55;-2725700000,0;1151600000,0;-1548804008,0;89,07;88,2;7,16;2,55;-2725700000,0;1151600000,0;-1548804008,0;89,07;88,2
110;Veolia;VIE.PA;CAC 40;Utilities;5,84;0,98;2877000000,0;4148000000,0;-1982328877,0;12,46;5,01;7,61;1,29;5604000000,0;5005000000,0;-1451807940,0;12,65;5,92;8,5;1,5;5660000000,0;5038000000,0;-1168762384,0;13,47;6,77;11,21;1,72;8225000000,0;5153000000,0;-858821618,0;14,14;7,21;11,21;1,72;8225000000,0;5153000000,0;-858821618,0;14,14;7,21
111;Vinci;DG.PA;CAC 40;Construcción;16,42;3,8;5019000000,0;5886000000,0;124920000,0;16,92;11,14;16,73;3,97;8033000000,0;7208000000,0;688300000,0;17,16;11,72;16,24;3,76;9786000000,0;7662000000,0;325540586,0;17,57;12,07;15,94;3,68;9349000000,0;8013000000,0;1087060000,0;18,04;12,48;15,94;3,68;9349000000,0;8013000000,0;1087060000,0;18,04;12,48
112;Vivendi;VIV.PA;CAC 40;Medios;-5,82;-3,23;-334000000,0;363000000,0;-2178964672,0;1,22;-5,0;2,37;1,06;334000000,0;946000000,0;-1671178605,0;105,45;88,78;-130,75;-75,72;1784000000,0;1837000000,0;-642923333,0;34,01;-30,64;0,43;0,29;-1011000000,0;-68000000,0;-300834286,0;54,4;38,11;0,43;0,29;-1011000000,0;-68000000,0;-300834286,0;54,4;38,11
113;Worldline;WLN.PA;CAC 40;Fintech;3,19;1,37;128000000,0;745000000,0;-937708045,0;13,61;7,73;-9,53;-3,76;164300000,0;458900000,0;-1898548487,0;-12,5;-18,97;-3,6;-1,53;-112900000,0;339900000,0;-1306527621,0;0,53;-7,24;-158,59;-39,23;-72900000,0;206300000,0;-5624547970,0;-118,64;-127,4;-158,59;-39,23;-72900000,0;206300000,0;-5624547970,0;-118,64;-127,4
114;bioMérieux;BIM.PA;CAC 40;Salud;12,55;8,72;202700000,0;188400000,0;119070491,0;23,2;16,29;9,53;6,8;72300000,0;107100000,0;936914,0;19,38;12,34;10,28;7,49;246700000,0;321500000,0;65890305,0;22,55;14,96;9,69;7,13;423500000,0;453100000,0;48028895,0;20,85;13,31;9,69;7,13;423500000,0;453100000,0;48028895,0;20,85;13,31
115;AstraZeneca;AZN.L;FTSE 100;Salud;8,88;3,41;5966000000,0;7237000000,0;-2997375530,0;20,48;8,64;15,21;5,89;5441000000,0;6567000000,0;1687796805,0;29,3;18,53;17,25;6,76;9115000000,0;7275000000,0;2310149658,0;28,55;19,18;21,01;8,96;6656000000,0;8670000000,0;4888165689,0;33,21;23,86;21,01;8,96;6656000000,0;8670000000,0;4888165689,0;33,21;23,86
116;HSBC Holdings;HSBA.L;FTSE 100;Banca;8,75;0,53;20469000000,0;14946000000,0;;;;12,7;0,77;38506000000,0;35416000000,0;;;;12,96;0,79;63780000000,0;61419000000,0;;;;11,24;0,69;25348000000,0;25105000000,0;;;;11,24;0,69;25348000000,0;25105000000,0;;;
117;Shell;SHEL.L;FTSE 100;Energía;22,21;9,55;37624000000,0;45814000000,0;20673246415,0;24,27;18,4;10,37;4,77;21577000000,0;31198000000,0;-2442957627,0;19,06;11,77;9,03;4,15;25777000000,0;35086000000,0;2679000000,0;20,22;12,23;10,23;4,82;15030000000,0;23916000000,0;-2028914027,0;21,23;12,93;10,23;4,82;15030000000,0;23916000000,0;-2028914027,0;21,23;12,93
118;Unilever;ULVR.L;FTSE 100;Consumo;40,18;9,82;4909000000,0;5573000000,0;4708634203,0;21,76;18,52;35,84;8,62;9058000000,0;7991000000,0;3230989053,0;20,76;18,54;28,73;7,2;7905000000,0;7905000000,0;2398417766,0;20,47;17,85;60,97;13,44;6759000000,0;6759000000,0;3091908552,0;22,07;19,39;60,97;13,44;6759000000,0;6759000000,0;3091908552,0;22,07;19,39
119;BP;BP.L;FTSE 100;Energía;-3,68;-0,86;19179000000,0;28863000000,0;-1607160000,0;13,4;7,47;21,68;5,44;21420000000,0;17754000000,0;2901012139,0;20,7;13,12;0,64;0,13;19686000000,0;12000000000,0;-7478210000,0;14,79;6,01;0,1;0,02;8301000000,0;11272000000,0;-6180100000,0;16,21;6,8;0,1;0,02;8301000000,0;11272000000,0;-6180100000,0;16,21;6,8
120;Rio Tinto;RIO.L;FTSE 100;Minería;24,47;12,81;8915000000,0;9384000000,0;7538280990,0;45,97;36,95;18,43;9,71;9597000000,0;8074000000,0;4101506652,0;39,0;29,13;20,91;11,24;5379000000,0;5978000000,0;5497991700,0;43,17;32,14;16,02;7,78;12327000000,0;4497000000,0;2481993226,0;39,86;28,45;16,02;7,78;12327000000,0;4497000000,0;2481993226,0;39,86;28,45
121;GSK;GSK.L;FTSE 100;Salud;141,12;24,87;523000000,0;5145000000,0;2656356318,0;29,33;22,01;36,92;8,35;2054000000,0;4424000000,0;2907654116,0;29,95;22,39;18,84;4,33;2406000000,0;3572000000,0;472900903,0;21,25;13,12;34,9;9,35;6262000000,0;4756000000,0;3694618273,0;31,84;24,76;34,9;9,35;6262000000,0;4756000000,0;3694618273,0;31,84;24,76
122;BHP Group;BHP.L;FTSE 100;Minería;71,01;32,47;24125000000,0;26319000000,0;16912210909,0;61,39;52,66;30,01;12,76;16861000000,0;11968000000,0;9182116899,0;53,16;43,76;18,21;7,71;9613000000,0;11849000000,0;6627220000,0;42,27;32,75;19,51;8,29;11748000000,0;9294000000,0;4828716654,0;50,27;39,46;19,51;8,29;11748000000,0;9294000000,0;4828716654,0;50,27;39,46
123;Diageo;DGE.L;FTSE 100;Consumo;45,36;9,69;4772000000,0;3756000000,0;2616625083,0;39,43;34,24;45,1;9,9;3175000000,0;2219000000,0;2410767919,0;38,38;32,07;38,58;8,51;3047000000,0;2595000000,0;2182766154,0;34,96;32,53;21,23;4,77;3583000000,0;2685000000,0;241383206,0;31,41;22,92;21,23;4,77;3583000000,0;2685000000,0;241383206,0;31,41;22,92
124;Vodafone;VOD.L;FTSE 100;Telecomunicaciones;;;;;;;;18,67;7,61;3868000000,0;10298000000,0;5111500688,0;68,45;41,23;1,9;0,79;2260000000,0;9697000000,0;-4973214815,0;40,26;11,9;-7,9;-3,24;391000000,0;8674000000,0;-7853860000,0;31,01;2,16;-0,78;-0,31;1130000000,0;6973000000,0;-5239090000,0;41,44;10,66
125;Rolls-Royce;RR.L;FTSE 100;Aeroespacial;20,98;-4,31;-1095000000,0;928000000,0;-2163895553,0;-1,53;-8,57;-65,53;7,65;1773000000,0;1772000000,0;1442623090,0;22,71;16,96;-276,43;7,06;2428000000,0;2896000000,0;791649705,0;18,42;13,73;214,27;15,32;2830000000,0;3580000000,0;4583901601,0;38,38;34,13;214,27;15,32;2830000000,0;3580000000,0;4583901601,0;38,38;34,13
126;BAE Systems;BA.L;FTSE 100;Defensa;14,19;5,06;1746000000,0;2146000000,0;202258462,0;14,39;10,8;17,59;5,79;2965000000,0;2803000000,0;533062906,0;14,94;11,55;16,84;5,13;5901000000,0;2762000000,0;462743997,0;15,1;10,97;17,5;5,47;1767000000,0;2329000000,0;542422333,0;14,95;10,86;17,5;5,47;1767000000,0;2329000000,0;542422333,0;14,95;10,86
127;Lloyds Banking Group;LLOY.L;FTSE 100;Banca;8,76;0,44;16778000000,0;18156000000,0;;;;11,58;0,62;1027000000,0;1355000000,0;;;;9,67;0,49;-10023000000,0;-10016000000,0;;;;9,77;0,49;-793000000,0;-622000000,0;;;;9,77;0,49;-793000000,0;-622000000,0;;;
128;Barclays;BARC.L;FTSE 100;Banca;8,68;0,39;32087000000,0;28485000000,0;;;;7,39;0,36;223000000,0;-2645000000,0;;;;8,78;0,42;11934000000,0;5539000000,0;;;;9,22;0,46;23792000000,0;16880000000,0;;;;9,22;0,46;23792000000,0;16880000000,0;;;
129;NatWest Group;NWG.L;FTSE 100;Banca;9,84;0,5;-49295000000,0;-44979000000,0;;;;12,48;0,67;-19895000000,0;-18993000000,0;;;;12,2;0,68;3278000000,0;694000000,0;;;;13,69;0,82;7305000000,0;5790000000,0;;;;13,69;0,82;7305000000,0;5790000000,0;;;
130;Anglo American;AAL.L;FTSE 100;Minería;16,52;6,7;5847000000,0;3445000000,0;1798848608,0;35,43;28,46;1,13;0,43;1897000000,0;484000000,0;-1136370000,0;23,72;14,96;-14,78;-4,73;5961000000,0;4048000000,0;-4855100000,0;9,07;-3,26;-20,81;-6,68;-1486000000,0;2131000000,0;-2510530000,0;21,82;9,41;-20,81;-6,68;-1486000000,0;2131000000,0;-2510530000,0;21,82;9,41
131;Glencore;GLEN.L;FTSE 100;Minería;35,05;13,06;6222000000,0;9482000000,0;11456030764,0;12,36;9,63;9,82;3,46;8983000000,0;6552000000,0;-2280000,0;6,39;3,64;-4,02;-1,25;10022000000,0;4444000000,0;-5017830000,0;3,69;0,83;0,93;0,26;2062000000,0;-290000000,0;-3653470000,0;4,18;1,44;0,93;0,26;2062000000,0;-290000000,0;-3653470000,0;4,18;1,44
132;Compass Group;CPG.L;FTSE 100;Servicios;18,98;5,94;1694025684,0;1269681742,0;305708821,0;8,26;6,24;25,66;7,48;1286000000,0;1828000000,0;805666598,0;7,99;6,22;20,56;5,77;2023000000,0;2234000000,0;481601673,0;7,39;5,62;24,41;6,99;3004000000,0;2474000000,0;871015480,0;8,28;6,43;24,41;6,99;3004000000,0;2474000000,0;871015480,0;8,28;6,43
133;Relx;REL.L;FTSE 100;Medios;43,27;10,32;2327000000,0;1965000000,0;921209806,0;35,17;26,83;51,47;11,94;1784000000,0;1980000000,0;1267565490,0;36,15;28,33;55,56;12,78;1818000000,0;2124000000,0;1404434728,0;37,57;30,08;87,28;13,99;2815000000,0;2311000000,0;1583808727,0;38,44;31,52;87,28;13,99;2815000000,0;2311000000,0;1583808727,0;38,44;31,52
134;Haleon;HLN.L;FTSE 100;Salud;6,49;3,04;11221000000,0;1735000000,0;-1124336712,0;20,1;17,46;6,32;3,08;1211000000,0;1764000000,0;-959672973,0;20,8;18,07;8,92;4,2;2635000000,0;1983000000,0;-500972984,0;23,4;20,51;10,15;5,11;915000000,0;2221000000,0;-264867807,0;25,92;22,66;10,15;5,11;915000000,0;2221000000,0;-264867807,0;25,92;22,66
135;Prudential;PRU.L;FTSE 100;Seguros;-6,02;-0,63;-685000000,0;1044000000,0;;2,09;2,09;9,54;0,98;395000000,0;788000000,0;;11,85;11,85;13,06;1,26;3508000000,0;3508000000,0;;19,27;19,27;19,77;1,87;2808000000,0;2346000000,0;;18,71;18,71;19,77;1,87;2808000000,0;2346000000,0;;18,71;18,71
